gene_id	median_absolute_deviation
213	154700.64762315818
7038	77290.45364750957
1277	74143.9307774259
2335	66436.63557033273
3852	62070.64558648479
5265	56488.68228081593
3853	52127.716392832415
3861	50944.237978419274
1281	48667.2023715124
2670	47668.5719960187
3240	46646.48608955281
1191	45811.4702297967
1278	45672.67117438995
2512	45553.90275998762
2597	39483.49249091939
3481	36546.458008598194
972	36355.1043435222
60	36084.77103541863
718	34989.26515140448
3872	34659.63247848638
1915	32265.81329875939
1113	31552.48219778283
6678	29742.178050330498
567	28786.377089846876
1114	28167.87739222262
1508	28084.27564624494
7431	27024.788792465264
6439	26861.491463731003
71	25951.619421648003
3860	25520.264956114836
348	25457.949367475972
3106	25021.919065791477
7178	24903.082085888615
3868	24736.18287532855
720	22319.87182509474
1938	21358.140015516285
6490	20783.964490443443
6132	20447.87589198269
6280	20126.74095699713
3854	20082.611546561442
729238	19807.93406577606
335	19445.016233281418
3105	19299.49813619673
2778	18622.290031934866
4629	18426.666912025692
6696	18281.196031984702
2495	18267.818607492332
6277	17996.86116965927
7018	17765.603356540552
2316	17724.67655193917
3880	17651.683027860803
1048	17593.441077235017
2023	17499.810902816716
3856	17347.488081545875
2	17252.975405427693
2878	17220.23179453591
100133941	17186.194653355957
1509	17102.302312936827
6222	17035.935418530647
26986	16372.503347848437
5284	16207.03203248519
3488	16010.462711162774
4069	15986.548687510349
6122	15909.37481756862
6194	15708.480105881461
7448	15369.910051077914
79026	15297.518934126378
5315	15048.782928861143
10397	14858.064024993202
5004	14725.857661346801
6176	14682.385848057771
259	14371.691117498793
5660	14289.052322421112
3107	14060.323003591802
6191	14001.795125981902
12	13742.473781897887
226	13567.795605402067
6188	13186.798790217019
9168	13078.711550199412
6175	12965.089217772053
2752	12902.267883933248
229	12688.617735190071
3122	12588.919770557839
5950	12571.134051659305
1832	12497.293046295894
476	12472.735875887352
3315	12462.033314531665
3817	12294.225022756375
6279	12281.831663772418
6137	12268.294199729738
5034	12159.30100223011
629	12021.718141143314
2810	11830.629524006226
341	11725.172480361229
6124	11596.893454014838
338	11279.493455433229
6223	11145.242184431194
7316	11138.46086249967
1293	11108.849703761949
3326	11062.14120001682
55	11021.566170296273
6205	10924.743762071397
4627	10861.053059306749
10399	10791.441293802116
6143	10764.555403760709
3875	10731.873183650405
1292	10723.487111276787
8490	10641.760185489462
6319	10601.678906861025
64065	10541.225868932772
1674	10466.897488723585
10568	10428.12399005558
6876	10370.930291564897
6158	10332.957379166968
8404	10270.354093034544
6202	10236.5917000227
3851	10230.589696157112
4256	10222.76829413358
4680	10083.955396163812
3486	10019.120483282824
3303	10018.28055235354
286887	9997.101480672542
351	9992.883007442932
10562	9833.2647265405
1410	9801.739400997607
3855	9709.565630838408
3320	9683.156084836071
301	9652.57935915344
334	9577.963130683464
203068	9360.01954404514
3959	9305.281176057495
23521	9293.298459973515
10376	9230.080974306875
3728	9227.172653185795
811	9207.681688731944
6224	9163.198192830487
7045	9142.876931848294
10457	9034.850068663869
3939	8978.011924268056
7534	8928.068839340052
302	8920.021337166243
6382	8892.25499576745
6229	8769.122772385459
6141	8664.65809416609
710	8664.377818047007
563	8656.950983836148
4057	8647.95717417726
1718	8628.291062581313
1291	8595.103584638147
7494	8591.197313313063
633	8550.912651306573
7184	8494.890459426582
6161	8493.913124259781
5757	8484.372329234186
3312	8417.05070750447
6168	8256.644271629551
967	8183.5868898088165
63827	8181.963200753619
1066	8176.492084526524
6273	8143.094417931186
716	8122.834393868354
358	8098.686772715179
6414	8091.286890128702
2353	8054.780298345212
3487	8025.997512804111
59	8015.0628319045945
6203	8012.965231574618
6217	7965.2070102770995
9445	7961.9982727397755
1937	7954.627948289248
6125	7931.664933950764
7078	7927.0671394000365
643834	7888.326975026493
8407	7886.453319820266
1634	7878.845188106965
6130	7815.919763704605
6282	7732.262398121122
6206	7708.326642194742
2194	7681.50392537667
6187	7677.111880000298
682	7669.47279949188
1571	7657.104065421886
2950	7632.644492808546
6167	7630.662646576164
10410	7588.856576043588
165	7582.101974380774
183	7567.474833377686
10551	7545.1196607770435
10631	7465.609662799593
6156	7456.705015434582
197	7432.216772726303
6181	7382.898263851487
2934	7342.302742247027
960	7275.719645954742
6171	7264.66171993063
10398	7241.993757036424
6157	7230.657592235382
10628	7180.28005564539
4060	7178.743576296048
10406	7154.413652127812
2052	7114.596960611683
5317	7105.005318913988
7009	7039.298509893149
481	6991.44920287919
6590	6983.396962164076
4582	6969.11510744884
1284	6919.031589349997
6208	6898.032251921055
6138	6888.731646410778
72	6878.47596982416
7076	6844.118275615721
4070	6774.593592581501
344	6710.65735361014
3371	6706.459781699471
6135	6693.30787249285
6193	6681.656266936976
6134	6681.342061099953
3263	6557.237670706757
